epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
170,20902.1,0.61765,0.39675,1.05008,0.97243,0.94588,0.96622,0.7759,0.4731,0.87814,0.7311,0.0016345,0.0016345,0.0016345
171,21021.2,0.61664,0.39538,1.04829,0.97232,0.94584,0.9661,0.77604,0.47281,0.87754,0.7309,0.001585,0.001585,0.001585
172,21139.4,0.61515,0.39055,1.04427,0.97236,0.94566,0.96612,0.77604,0.47264,0.87659,0.73086,0.0015355,0.0015355,0.0015355
173,21258.5,0.61974,0.3944,1.04943,0.97253,0.94586,0.96614,0.7759,0.4724,0.87589,0.73078,0.001486,0.001486,0.001486
174,21376.9,0.61454,0.3931,1.04911,0.97286,0.94577,0.96616,0.77609,0.47209,0.87488,0.73061,0.0014365,0.0014365,0.0014365
175,21495.6,0.61085,0.39368,1.04712,0.9731,0.9457,0.96613,0.77634,0.47181,0.87365,0.73044,0.001387,0.001387,0.001387
176,21614.2,0.61085,0.39121,1.04612,0.97376,0.9456,0.96618,0.77644,0.47153,0.8728,0.73028,0.0013375,0.0013375,0.0013375
177,21732.5,0.60719,0.39508,1.04793,0.97374,0.94556,0.9662,0.77677,0.47123,0.8723,0.7301,0.001288,0.001288,0.001288
178,21850.9,0.60202,0.38896,1.04712,0.97369,0.94557,0.96624,0.77719,0.47095,0.87115,0.72997,0.0012385,0.0012385,0.0012385
179,21970,0.60299,0.38822,1.04324,0.97199,0.94672,0.96626,0.77726,0.4707,0.8703,0.72983,0.001189,0.001189,0.001189
180,22089,0.60535,0.38656,1.04472,0.97224,0.94606,0.96631,0.77753,0.47047,0.86976,0.72972,0.0011395,0.0011395,0.0011395
181,22207.6,0.59014,0.37775,1.03943,0.97152,0.94705,0.96636,0.77786,0.47021,0.86973,0.72961,0.00109,0.00109,0.00109
182,22325.8,0.59351,0.37976,1.03746,0.97193,0.94703,0.96657,0.77791,0.46993,0.86923,0.72944,0.0010405,0.0010405,0.0010405
